specie,nest_id,folder,photo,viaje,date,true_inc_day,start_time,final_time,duration,duration_min,duration_h,sex,event,nocturnal_incubation,nocturnal_incubation,,,note,note1
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,1450-1556,,01-Sep-14,20,7:26:00,9:12:00,1:46:00,106,1.766666667,m,on,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,1556-1589,2,01-Sep-14,20,9:12:00,9:45:00,0:33:00,33,0.55,m,off,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,1589-1590,,01-Sep-14,20,9:45:00,9:46:00,0:01:00,1,0.016666667,f,visita,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,1590-1763,,01-Sep-14,20,9:46:00,12:29:00,2:43:00,163,2.716666667,f,on,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,1606-1621,,01-Sep-14,20,10:02:00,10:06:00,0:04:00,4,0.066666667,m,visita,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,1763-1771,3,01-Sep-14,20,12:29:00,12:30:49,0:01:49,1.81,0.030166667,f,off,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,1764-1771,,01-Sep-14,20,12:30:00,12:30:49,0:00:49,0.8,0.013333333,f,visita,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,1771-2032,,01-Sep-14,20,12:30:49,16:48:00,4:17:11,257,4.283333333,f,on,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,2032-2035,4,01-Sep-14,20,16:48:00,16:51:00,0:03:00,3,0.05,f,off,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,2035-2046,,01-Sep-14,20,16:51:00,16:52:00,0:01:00,1,0.016666667,f,visita,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,2046-2832,,01-Sep-14,20,16:52:00,0:00:00,7:08:00,428,7.133333333,f,on,Y,,,,incubación nocturna,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,2046-2832,,02-Sep-14,21,0:00:00,5:58:00,5:58:00,358,5.966666667,f,on,Y,,,,incubación nocturna,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,2832-2867,1,02-Sep-14,21,5:58:00,6:33:00,0:35:00,35,0.583333333,f,off,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,2867-2953,,02-Sep-14,21,6:33:00,7:59:00,1:26:00,86,1.433333333,f,on,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,2953-2954,2,02-Sep-14,21,7:59:00,8:00:00,0:01:00,1,0.016666667,f,off,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,2954-3074,,02-Sep-14,21,8:00:00,10:00:00,2:00:00,120,2,m,on,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,3074-3077,1,02-Sep-14,21,10:00:00,10:03:00,0:03:00,3,0.05,m,off,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,3075-3077,,02-Sep-14,21,10:01:00,10:03:00,0:02:00,2,0.033333333,f,visita,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,3077-3280,,02-Sep-14,21,10:03:00,13:26:00,3:23:00,203,3.383333333,f,on,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,3280-3288,3,02-Sep-14,21,13:26:00,13:34:00,0:08:00,8,0.133333333,f,off,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,3282-3288,,02-Sep-14,21,13:28:00,13:34:00,0:06:00,6,0.1,m,visita,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,3288-3299,,02-Sep-14,21,13:34:00,13:45:00,0:11:00,11,0.183333333,m,on,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,3299-3324,2,02-Sep-14,21,13:45:00,14:00:00,0:15:00,15,0.25,m,off,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,3309-3324,,02-Sep-14,21,13:55:00,14:00:00,0:05:00,5,0.083333333,m,visita,N,,,,CREO que aquí empiezan a eclosionar los polluelos,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,3324-3450,,02-Sep-14,21,14:00:00,16:06:00,2:06:00,126,2.1,m,on,N,,,,"Durante este tiempo de incupación el adulto estuvo muy inquieto, permanece en el nido pero se levante por segundos en repetidas ocasiones",
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,3450-3459,3,02-Sep-14,21,16:06:00,16:15:00,0:09:00,9,0.15,m,off,N,,,,"Se ve movimientos en nido, por eso creo que ya eclosionaron los polluelos a pesar de que en la historia dice que nacieron el 3 de sep",
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,3459-3496,,02-Sep-14,21,16:15:00,16:52:00,0:37:00,37,0.616666667,m,on,N,,,,brooding,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,3496-3507,4,02-Sep-14,21,16:52:00,17:03:00,0:11:00,11,0.183333333,m,off,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,3499-3504,4,02-Sep-14,21,16:55:00,17:00:00,0:05:00,5,0.083333333,f,alimentación,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,3504-3507,,02-Sep-14,21,17:00:00,17:03:00,0:03:00,3,0.05,f,visita,N,,,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,3507-4271,,02-Sep-14,21,17:03:00,0:00:00,6:57:00,417,6.95,f,on,Y,,,,incubación nocturna,
Myrmotherula hauxwelli,P02_AJRC13,Huevos (8 - 10 Septiembre 2013),0001-0289,1,08-Sep-13,1,12:45:00,17:27:00,4:42:00,282,4.7,,off,N,,,,inicio de carpeta,
Myrmotherula hauxwelli,P02_AJRC13,Huevos (8 - 10 Septiembre 2013),0037-0038,,08-Sep-13,1,13:21:00,13:22:00,0:01:00,1,0.016666667,m,visita,N,,,,,
Myrmotherula hauxwelli,P02_AJRC13,Huevos (8 - 10 Septiembre 2013),0282-0289,,08-Sep-13,1,17:25:25,17:27:00,0:01:35,1.58,0.026333333,f,visita,N,,,,,
Myrmotherula hauxwelli,P02_AJRC13,Huevos (8 - 10 Septiembre 2013),0289-1031,,08-Sep-13,1,17:27:00,0:00:00,6:33:00,393,6.55,f,on,Y,,,,incubación nocturna,
Myrmotherula hauxwelli,P02_AJRC13,Huevos (8 - 10 Septiembre 2013),0289-1031,,09-Sep-13,2,0:00:00,5:49:00,5:49:00,349,5.816666667,f,on,Y,,,,incubación nocturna,
Myrmotherula hauxwelli,P02_AJRC13,Huevos (8 - 10 Septiembre 2013),1031-1239,1,09-Sep-13,2,5:49:00,9:12:00,3:23:00,203,3.383333333,f,off,N,,,,,
Myrmotherula hauxwelli,P02_AJRC13,Huevos (8 - 10 Septiembre 2013),1065-1069,,09-Sep-13,2,6:22:08,6:22:13,0:00:05,0.1,0.001666667,m,visita,N,,,,,
Myrmotherula hauxwelli,P02_AJRC13,Huevos (8 - 10 Septiembre 2013),1239-1287,,09-Sep-13,2,9:12:00,10:00:00,0:48:00,48,0.8,m,on,N,,,,,
