species,foragingRate,capture,movementRate,movement,minutes,sociality,gender,dayofseason,flocksizespecies,flocksizeind,indspecies,plot,plotMigrants,plotResidents
Cardelina canadensis,0,0,39.0697674,24,0.616666667,Solitary,Male,5,1,1,1,b,b,
Cardelina canadensis,0,0,39.0697674,11,0.283333333,Solitary,Male,12,1,1,1,b,b,
Cardelina canadensis,0,0,2.6470588,2,0.916666667,Solitary,Male,14,1,1,,b,b,
Cardelina canadensis,0,0,2.6470588,5,1.833333333,Solitary,Male,15,1,1,,b,b,
Cardelina canadensis,0,0,18.4615385,17,0.933333333,Solitary,Male,80,1,1,,b,b,
Cardelina canadensis,0,0,18.4615385,19,1.033333333,Solitary,Male,81,1,1,,b,b,
Cardelina canadensis,0,0,29.6969697,135,4.533333333,Solitary,Female,69,1,1,2,b,b,
Cardelina canadensis,0,0,29.6969697,49,1.666666667,Solitary,Female,11,1,1,,b,b,
Cardelina canadensis,0,0,28.8888889,95,3.3,Solitary,Female,80,1,1,1,b,b,
Cardelina canadensis,0,0,28.8888889,26,0.9,Solitary,Female,80,1,1,1,b,b,
Cardelina canadensis,0,0,27.4285714,39,1.433333333,Solitary,Female,56,1,1,1,b,b,
Cardelina canadensis,0,0,28.8888889,34,1.166666667,Solitary,Female,80,1,1,1,b,b,
Hemithraupis guira,12.5,4,5,2,0.4,Solitary,Female,24,1,1,,d,,d
Hemithraupis guira,11.37931034,11,14.4827586,14,0.966666667,Solitary,Male,10,1,1,3,d,,d
Hemithraupis guira,1.785714286,5,19.2857143,54,2.8,Solitary,Female,26,1,1,2,d,,d
Hemithraupis guira,0,0,39.4117647,67,1.7,Solitary,,53,1,1,2,d,,d
Oreothlypis peregrina,2.76746988,24,29.6385542,293,9.9,Solitary,NA,66,1,1,,f,f,
Oreothlypis peregrina,2.6,6,0,0,2.766666667,Solitary,NA,2,1,1,1,f,f,
Oreothlypis peregrina,2.424242424,2,22.4242424,23,1.016666667,Solitary,NA,5,1,1,2,f,f,
Oreothlypis peregrina,2.3,3,22.4242424,37,1.633333333,Solitary,NA,11,1,1,3,f,f,
Oreothlypis peregrina,2.242424242,2,22.4242424,31,1.366666667,Solitary,NA,1,1,1,2,f,f,
Oreothlypis peregrina,2.168674699,2,29.6385542,61,2.066666667,Solitary,NA,6,1,1,2,f,f,
Oreothlypis peregrina,2.1,0,22.4242424,28,1.233333333,Solitary,NA,3,1,1,2,f,f,
Oreothlypis peregrina,2,0,29.6385542,26,0.866666667,Solitary,NA,11,1,1,,f,f,
Oreothlypis peregrina,1.9,2,29.6385542,32,1.066666667,Solitary,NA,11,1,1,,f,f,
Oreothlypis peregrina,1.5,1,21.9512195,15,0.666666667,Solitary,NA,24,1,1,,f,f,
Oreothlypis peregrina,1.463414634,1,21.9512195,15,0.683333333,Solitary,NA,24,1,1,,f,f,
Oreothlypis peregrina,1.4,2,21.9512195,32,1.45,Solitary,NA,24,1,1,,f,f,
Oreothlypis peregrina,1.341463415,2,21.9512195,23,1.066666667,Solitary,NA,24,1,1,,f,f,
Oreothlypis peregrina,0,0,22.7027027,31,1.366666667,Solitary,NA,3,1,1,2,f,f,
Oreothlypis peregrina,0,0,18.4615385,21,1.133333333,Solitary,NA,11,1,1,,f,f,
Oreothlypis peregrina,0,0,18.4615385,15,0.816666667,Solitary,NA,11,1,1,,f,f,
Oreothlypis peregrina,0,0,18.4615385,35,1.9,Solitary,NA,11,1,1,,f,f,
Oreothlypis peregrina,0,0,18.4615385,25,1.35,Solitary,NA,11,1,1,,f,f,
Oreothlypis peregrina,0,0,22.7027027,34,1.516666667,Solitary,NA,3,1,1,2,f,f,
Oreothlypis peregrina,0,0,22.7027027,21,0.916666667,Solitary,NA,3,1,1,2,f,f,
Parula pitiayumi,3.622641509,3,30,25,0.833333333,Solitary,NA,4,1,1,,h,,h
Parula pitiayumi,3.333333333,3,35.5,32,0.9,Solitary,NA,39,1,1,2,h,,h
Parula pitiayumi,3.306185567,5,36,55,1.516666667,Solitary,NA,3,1,1,,h,,h
Parula pitiayumi,1.714285714,2,15.4285714,18,1.166666667,Solitary,NA,7,1,1,1,h,,h
Parula pitiayumi,1.448979592,2,10,14,1.383333333,Solitary,NA,8,1,1,,h,,h
Parula pitiayumi,1.348979592,1,22,17,0.75,Solitary,NA,55,1,1,,h,,h
Parula pitiayumi,1.224489796,2,20.2040816,33,1.633333333,Solitary,NA,9,1,1,2,h,,h
Parula pitiayumi,1.1,1,15.5,14,0.9,Solitary,NA,8,1,1,,h,,h
Parula pitiayumi,1,1,34.2857143,34,1,Solitary,NA,9,1,1,,h,,h
Parula pitiayumi,1,1,23,23,1,Solitary,NA,28,1,1,,h,,h
Parula pitiayumi,1,2,23,46,2,Solitary,NA,33,1,1,,h,,h
Parula pitiayumi,0.902255639,6,14.7368421,98,6.65,Solitary,NA,85,1,1,1,h,,h
Parula pitiayumi,0.9,2,20,45,2.233333333,Solitary,NA,9,1,1,,h,,h
Parula pitiayumi,0.818181818,6,11.1818182,82,7.333333333,Solitary,NA,85,1,1,1,h,,h
Parula pitiayumi,0.7,1,20.2040816,29,1.433333333,Solitary,NA,33,1,1,,h,,h
Parula pitiayumi,0.64,1,11.1818182,18,1.566666667,Solitary,NA,85,1,1,,h,,h
Parula pitiayumi,0.6,1,20,33,1.666666667,Solitary,NA,85,1,1,,h,,h
Parula pitiayumi,0.5,1,35,70,2,Solitary,NA,3,1,1,,h,,h
Parula pitiayumi,0.5,1,14.7368421,29,2,Solitary,NA,9,1,1,,h,,h
Parula pitiayumi,0.5,1,18.5,37,2,Solitary,NA,54,1,1,,h,,h
Parula pitiayumi,0.394736842,1,10.2631579,26,2.533333333,Solitary,NA,5,1,1,1,h,,h
Parula pitiayumi,0,0,34.2857143,24,0.7,Solitary,NA,27,1,1,1,h,,h
Parula pitiayumi,0,0,24,35,1.45,Solitary,NA,84,1,1,1,h,,h
Parula pitiayumi,0,0,36,40,1.116666667,Solitary,NA,3,1,1,1,h,,h
Parula pitiayumi,0,0,29,27,0.933333333,Solitary,NA,11,1,1,1,h,,h
Parula pitiayumi,0,0,10.2631579,7,0.683333333,Solitary,NA,33,1,1,,h,,h
Parula pitiayumi,0,0,21.7241379,21,0.966666667,Solitary,NA,80,1,1,,h,,h
Parula pitiayumi,0,0,21.7241379,33,1.533333333,Solitary,NA,85,1,1,,h,,h
Sethophaga fusca,4,4,22.24,22,1,Solitary,Male,5,1,1,1,j,j,
Sethophaga fusca,3.428571429,24,27.8571429,195,7,Solitary,Male,80,1,1,1,j,j,
Sethophaga fusca,3.23,4,24.63,31,1.25,Solitary,Male,18,1,1,1,j,j,
Sethophaga fusca,3,1,27.57,9,0.333333333,Solitary,Female,8,1,1,1,j,j,
Sethophaga fusca,2.916666667,7,23.75,57,2.4,Solitary,Female,4,1,1,1,j,j,
Sethophaga fusca,2.666666667,4,18,27,1.5,Solitary,Female,11,1,1,1,j,j,
Sethophaga fusca,2.608695652,7,27.2049689,73,2.683333333,Solitary,Female,30,1,1,1,j,j,
Sethophaga fusca,2.432432432,6,14.5945946,36,2.466666667,Solitary,Male,12,1,1,1,j,j,
Sethophaga fusca,2.12,2,27.71,27,0.966666667,Solitary,Male,8,1,1,1,j,j,
Sethophaga fusca,2.013422819,5,35.4362416,88,2.483333333,Solitary,Male,80,1,1,1,j,j,
Sethophaga fusca,2,4,27.57,55,2,Solitary,Female,8,1,1,1,j,j,
Sethophaga fusca,1.91,2,31.76,29,0.916666667,Solitary,Male,5,1,1,1,j,j,
Sethophaga fusca,1.89,2,23.35,21,0.916666667,Solitary,Male,9,1,1,1,j,j,
Sethophaga fusca,1.714285714,2,23.1428571,27,1.166666667,Solitary,Female,9,1,1,1,j,j,
Sethophaga fusca,1.690140845,2,25.3521127,30,1.183333333,Solitary,Female,9,1,1,1,j,j,
Sethophaga fusca,1.68,1,30.44,19,0.616666667,Solitary,Male,19,1,1,1,j,j,
Sethophaga fusca,1.6,1,27.57,17,0.616666667,Solitary,Female,8,1,1,1,j,j,
Sethophaga fusca,1.43,2,22.71,33,1.433333333,Solitary,Female,8,1,1,1,j,j,
Sethophaga fusca,1.4,1,22.13,15,0.666666667,Solitary,Female,8,1,1,1,j,j,
Sethophaga fusca,1.35,1,27.6,21,0.75,Solitary,Female,33,1,1,1,j,j,
Sethophaga fusca,1.18,1,36.44,22,0.616666667,Solitary,Female,57,1,1,1,j,j,
Sethophaga fusca,1.011235955,6,24.6067416,146,5.933333333,Solitary,Male,32,1,1,1,j,j,
Sethophaga fusca,0.983606557,1,33.442623,34,1.016666667,Solitary,Male,57,1,1,1,j,j,
Sethophaga fusca,0.9375,2,21.5625,46,2.133333333,Solitary,Female,35,1,1,1,j,j,
Sethophaga fusca,0.78,1,21.74,27,1.25,Solitary,Male,31,1,1,1,j,j,
Sethophaga fusca,0.63,1,18.63,29,1.583333333,Solitary,Female,34,1,1,1,j,j,
Sethophaga fusca,0.612244898,1,25.78,32,1.25,Solitary,Female,5,1,1,1,j,j,
Sethophaga fusca,0.61,1,28.78,47,1.633333333,Solitary,Female,5,1,1,1,j,j,
Sethophaga fusca,0,0,24.71,21,0.85,Solitary,Male,6,1,1,1,j,j,
Sethophaga fusca,0,0,21.67,34,1.583333333,Solitary,Female,8,1,1,1,j,j,
Sethophaga fusca,0,0,22.67,17,0.75,Solitary,Female,12,1,1,1,j,j,
Sethophaga fusca,0,0,25.57,31,1.216666667,Solitary,Male,7,1,1,1,j,j,
Setophaga cerulea,4.5,37,30,63,2.1,Solitary,male,1,1,1,3,l,l,
Setophaga cerulea,2.3,0,0,0,0.416666667,Solitary,NA,41,1,1,2,l,l,
Setophaga cerulea,1,0,0,0,1.65,Solitary,NA,21,1,1,1,l,l,
Setophaga cerulea,0.833333333,1,16.6666667,20,1.2,Solitary,female,26,1,1,4,l,l,
Setophaga cerulea,0.436363636,8,17.6727273,24,1.383333333,Solitary,female,17,1,1,1,l,l,
Zimmerius chrysops,4.109589041,5,9.8630137,12,1.216666667,Solitary,NA,3,1,1,,n,,n
Zimmerius chrysops,4,6,9,14,1.5,Solitary,NA,28,1,1,,n,,n
