specie,nest_id,folder,photo,viaje,date,hour,hour_standard,start_time,final_time,duration,duration_min,duration_h,sex,event,nocturnal_incubation,true_day,note,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4837-4839,20,03-Sep-14,15,10,14:33:00,14:35:00,0:02:00,2,0.033333333,f,Feeding,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4839-4846,,03-Sep-14,,10,14:36:00,14:42:00,0:06:00,6,0.1,f,brooding,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4846-4855,21,03-Sep-14,,10,14:42:00,14:51:00,0:09:00,9,0.15,f,off,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4854-4855,22,03-Sep-14,15,10,14:50:00,14:51:00,0:01:00,1,0.016666667,f,Feeding,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4855-4879,,03-Sep-14,,10,14:51:00,15:15:00,0:24:00,24,0.4,f,brooding,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4879-4890,23,03-Sep-14,,11,15:15:00,15:26:00,0:11:00,11,0.183333333,f,off,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4884-4885,24,03-Sep-14,16,11,15:20:00,15:21:00,0:01:00,1,0.016666667,f,Feeding,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4885-4886,13,03-Sep-14,16,11,15:21:00,15:22:00,0:01:00,1,0.016666667,m,Feeding,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4890-4911,,03-Sep-14,,11,15:15:00,15:47:00,0:32:00,32,0.533333333,f,brooding,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4911-4912,25,03-Sep-14,,11,15:47:00,15:48:00,0:01:00,1,0.016666667,f,off,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4912-4915,,03-Sep-14,,11,15:48:00,15:51:00,0:03:00,3,0.05,m,brooding,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4915-4916,14,03-Sep-14,,11,15:51:00,15:52:00,0:01:00,1,0.016666667,m,off,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4915-4916,26,03-Sep-14,16,11,15:51:00,15:52:00,0:01:00,1,0.016666667,f,Feeding,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4916-4918,,03-Sep-14,,11,15:52:00,15:54:00,0:02:00,2,0.033333333,f,brooding,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4918-4934,27,03-Sep-14,,11,15:54:00,16:00:00,0:06:00,6,0.1,f,off,N,2,monitoreo y fin de la carpeta,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,0001-0021,,04-Sep-14,,12,8:00:00,8:20:00,0:20:00,20,0.333333333,,off,N,3,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,0021-0023,,04-Sep-14,33,12,8:20:00,8:22:00,0:02:00,2,0.033333333,m,Feeding,N,3,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,0023-0093,,04-Sep-14,,12,8:22:00,9:32:00,1:10:00,70,1.166666667,m,brooding,N,3,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,0093-0108,1,04-Sep-14,,12,9:32:00,9:37:00,0:05:00,5,0.083333333,m,off,N,3,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,0094-0103,,04-Sep-14,34,12,9:33:00,9:34:53,0:01:53,1.9,0.031666667,f,Feeding,N,3,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,0101-0106,,04-Sep-14,34,12,9:34:51,9:35:00,0:00:09,0.2,0.003333333,m,Feeding,N,3,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,0106-0108,,04-Sep-14,34,12,9:35:00,9:37:00,0:02:00,2,0.033333333,f,Feeding,N,3,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,0108-0113,,04-Sep-14,,12,9:37:00,9:42:00,0:05:00,5,0.083333333,f,brooding,N,3,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,0113-0114,2,04-Sep-14,,12,9:42:00,9:43:00,0:01:00,1,0.016666667,f,off,N,3,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,0114-0161,,04-Sep-14,,12,9:43:00,10:30:00,0:47:00,47,0.783333333,f,brooding,N,3,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,0161-0180,3,04-Sep-14,,13,10:30:00,10:49:00,0:19:00,19,0.316666667,f,off,N,3,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,0163-0165,,04-Sep-14,35,13,10:32:00,10:34:00,0:02:00,2,0.033333333,f,Feeding,N,3,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,0178-0180,,04-Sep-14,35,13,10:47:00,10:49:00,0:02:00,2,0.033333333,m,Feeding,N,3,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,0180-0206,,04-Sep-14,,13,10:49:00,11:15:00,0:26:00,26,0.433333333,m,brooding,N,3,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,0206-0207,4,04-Sep-14,,14,11:15:00,11:16:00,0:01:00,1,0.016666667,m,off,N,3,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,0207-0226,,04-Sep-14,,14,11:16:00,11:34:57,0:18:57,18.9,0.315,f,brooding,N,3,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,0226-0240,5,04-Sep-14,,14,11:34:57,11:39:00,0:04:03,4.1,0.068333333,f,off,N,3,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,0226-0237,,04-Sep-14,,14,11:34:57,11:36:00,0:01:03,1,0.016666667,m,visita,N,3,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,0237-0343,,04-Sep-14,,14,11:36:00,13:22:00,1:46:00,106,1.766666667,f,brooding,N,3,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,0343-0489,6,04-Sep-14,,15,13:22:00,14:28:00,1:06:00,66,1.1,f,off,N,3,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,0449-0453,,04-Sep-14,,15,13:58:00,14:02:00,0:04:00,4,0.066666667,m,visita,N,3,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,0489-0514,,04-Sep-14,,16,14:28:00,14:53:00,0:25:00,25,0.416666667,f,brooding,N,3,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,0514-,7,04-Sep-14,,16,14:53:00,15:02:00,0:09:00,9,0.15,f,off,N,3,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,0516-0526,,04-Sep-14,39,16,14:54:34,14:55:00,0:00:26,0.45,0.0075,u,Feeding,N,3,,,
